episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,895.0,115,0.999,,115
1,0,14,7433,op,0.638810354232788,120,True,True,False,False,876.0,120,0.998001,0.013833129778504372,235
2,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,873.0,119,0.997002999,0.0024477336555719376,354
3,0,14,7433,op,-0.2290000000000001,105,True,False,False,True,899.0,105,0.996005996001,0.004127273336052895,459
4,0,14,7433,op,0.6462751207351684,120,True,True,False,False,849.0,120,0.995009990004999,0.002139128278940916,579
5,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,881.0,116,0.994014980014994,0.0011064874706789851,695
6,0,14,7433,op,-0.19966666666666674,109,True,False,False,True,883.0,109,0.993020965034979,0.004334995523095131,804
7,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,896.0,119,0.9920279440699441,0.0012592318234965205,923
8,0,14,7433,op,-0.1923333333333334,110,True,False,False,True,897.0,110,0.9910359161258742,0.00825806986540556,1033
9,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,900.0,113,0.9900448802097482,0.004475704859942198,1146
10,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,893.0,118,0.9890548353295385,0.002107601147145033,1264
11,0,14,7433,op,-0.24366666666666675,103,True,False,False,True,894.0,103,0.988065780494209,0.002139620017260313,1367
12,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,896.0,116,0.9870777147137147,0.003053060732781887,1483
13,0,14,7433,op,0.6650752005577086,120,True,True,False,False,781.0,120,0.986090636999001,0.0019795368425548077,1603
14,0,14,7433,op,0.6694987592697142,120,True,True,False,False,765.0,120,0.9851045463620021,0.0034657553769648075,1723
15,0,14,7433,op,-0.20700000000000007,108,True,False,False,True,898.0,108,0.98411944181564,0.0007467083632946014,1831
16,0,14,7433,op,-0.18500000000000008,111,True,False,False,True,879.0,111,0.9831353223738244,0.0042349230498075485,1942
17,0,14,7433,op,-0.20700000000000007,108,True,False,False,True,896.0,108,0.9821521870514506,0.003287143539637327,2050
18,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,878.0,119,0.9811700348643991,0.0016324549214914441,2169
19,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,899.0,118,0.9801888648295347,0.0028853323310613632,2287
