episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,895.0,115,0.999,,115
1,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,896.0,117,0.998001,,232
2,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,873.0,119,0.997002999,,351
3,0,14,7433,op,0.6415750560760497,120,True,True,False,False,866.0,120,0.996005996001,,471
4,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,900.0,117,0.995009990004999,0.0012685690307989717,588
5,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,882.0,117,0.994014980014994,0.004691536072641611,705
6,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,875.0,116,0.993020965034979,0.002105646301060915,821
7,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,890.0,115,0.9920279440699441,0.0025610653683543205,936
8,0,14,7433,op,-0.17766666666666675,112,True,False,False,True,896.0,112,0.9910359161258742,0.0012558383168652654,1048
9,0,14,7433,op,0.6341102895736693,120,True,True,False,False,893.0,120,0.9900448802097482,0.0006171544082462788,1168
10,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,888.0,113,0.9890548353295385,0.0014301009941846132,1281
11,0,14,7433,op,-0.24366666666666675,103,True,False,False,True,886.0,103,0.988065780494209,0.0008429969311691821,1384
12,0,14,7433,op,0.6694987592697142,120,True,True,False,False,765.0,120,0.9870777147137147,0.001615201123058796,1504
13,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,888.0,119,0.986090636999001,0.0013000484323129058,1623
14,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,879.0,116,0.9851045463620021,0.0028380926232784986,1739
15,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,895.0,115,0.98411944181564,0.002061891369521618,1854
16,0,14,7433,op,-0.17766666666666675,112,True,False,False,True,894.0,112,0.9831353223738244,0.0008715689182281494,1966
17,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,896.0,114,0.9821521870514506,0.0010698436526581645,2080
18,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,876.0,118,0.9811700348643991,0.00044759505544789135,2198
19,0,14,7433,op,-0.17766666666666675,112,True,False,False,True,889.0,112,0.9801888648295347,0.0018093741964548826,2310
20,0,14,7433,op,-0.24366666666666675,103,True,False,False,True,899.0,103,0.9792086759647052,0.0005313719739206135,2413
21,0,14,7433,op,-0.21433333333333343,107,True,False,False,True,899.0,107,0.9782294672887405,0.000993014546111226,2520
22,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,896.0,116,0.9772512378214517,0.0007241358980536461,2636
23,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,898.0,113,0.9762739865836303,0.0007519279606640339,2749
