episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,4,14,7438,op,-10.25083613395691,99,True,False,True,True,900.0,99,0.98,,99
1,0,14,7433,op,-10.247718900442123,112,True,False,True,True,896.0,112,0.9603999999999999,0.1454555094242096,211
2,2,14,7100,op,-10.241874784231186,116,True,False,True,True,893.0,116,0.9411919999999999,0.02911779284477234,327
3,2,14,7100,op,-10.241061761975288,117,True,False,True,True,890.0,117,0.9223681599999999,0.031276635825634,444
4,0,14,7433,op,-10.246889680624008,105,True,False,True,True,893.0,105,0.9039207967999998,0.20066916942596436,549
5,7,14,7588,op,-10.226314306259155,102,True,False,True,True,805.0,102,0.8858423808639998,0.8439363241195679,651
6,6,14,6088,op,-10.240183278918266,93,True,False,True,True,893.0,93,0.8681255332467198,0.6211011409759521,744
7,12,14,7548,op,-10.227020829916,102,True,False,True,True,820.0,102,0.8507630225817854,1.3025217056274414,846
8,12,14,7548,op,-10.248615726828575,96,True,False,True,True,898.0,96,0.8337477621301497,0.5902280807495117,942
9,0,14,7433,op,-0.23389549553394318,120,True,True,False,False,846.0,120,0.8170728068875467,0.7479510307312012,1062
10,4,14,7438,op,-10.25027871131897,92,True,False,True,True,898.0,92,0.8007313507497957,1.126573085784912,1154
11,17,14,7088,op,-10.251190483570099,104,True,False,True,True,897.0,104,0.7847167237347998,0.628982424736023,1258
12,5,14,7410,op,-10.251748621463776,100,True,False,True,True,900.0,100,0.7690223892601038,1.3612122535705566,1358
13,1,14,7943,op,-0.2039051651954651,120,True,True,False,False,731.0,120,0.7536419414749017,1.2687697410583496,1478
14,16,14,7433,op,-10.25091627240181,109,True,False,True,True,890.0,109,0.7385691026454037,1.633962869644165,1587
15,7,14,7588,op,-10.250210851430893,87,True,False,True,True,890.0,87,0.7237977205924956,1.0543042421340942,1674
16,8,14,6928,op,-10.236436173319817,118,True,False,True,True,889.0,118,0.7093217661806457,1.224086046218872,1792
17,6,14,6088,op,-10.241796284914017,90,True,False,True,True,899.0,90,0.6951353308570327,1.2861666679382324,1882
18,0,14,7433,op,-10.245783403515816,118,True,False,True,True,889.0,118,0.6812326242398921,0.8066970109939575,2000
19,13,14,6913,op,-10.246893554925919,107,True,False,True,True,894.0,107,0.6676079717550942,1.0202168226242065,2107
20,14,14,6843,op,-10.227480039000511,90,True,False,True,True,798.0,90,0.6542558123199923,0.9147205352783203,2197
21,12,14,7548,op,-10.239479705691338,107,True,False,True,True,865.0,107,0.6411706960735924,0.9602982401847839,2304
22,3,14,6348,op,-10.240086913108826,103,True,False,True,True,884.0,103,0.6283472821521205,1.1322044134140015,2407
23,10,14,7133,op,-10.247039377689362,88,True,False,True,True,897.0,88,0.6157803365090782,0.8563433885574341,2495
24,7,14,7588,op,-10.249930024147034,94,True,False,True,True,889.0,94,0.6034647297788965,1.479421615600586,2589
25,3,14,6348,op,-10.243346005678177,104,True,False,True,True,896.0,104,0.5913954351833186,2.1663296222686768,2693
26,5,14,7410,op,-10.251468539237976,88,True,False,True,True,899.0,88,0.5795675264796523,1.404374361038208,2781
27,13,14,6913,op,-10.247445657849312,83,True,False,True,True,896.0,83,0.5679761759500592,1.4548044204711914,2864
28,0,14,7433,op,-10.248272120952606,106,True,False,True,True,898.0,106,0.5566166524310581,1.3587123155593872,2970
29,12,14,7548,op,-10.24750830233097,103,True,False,True,True,894.0,103,0.5454843193824369,1.7311735153198242,3073
30,16,14,7433,op,-10.251480132341385,96,True,False,True,True,892.0,96,0.5345746329947881,1.600982666015625,3169
31,6,14,6088,op,-10.240720823407173,74,True,False,True,True,895.0,74,0.5238831403348924,1.4934884309768677,3243
32,8,14,6928,op,-10.239361941814423,99,True,False,True,True,900.0,99,0.5134054775281945,1.748072862625122,3342
33,17,14,7088,op,-10.24670934677124,97,True,False,True,True,881.0,97,0.5031373679776306,2.148158311843872,3439
34,19,14,7208,op,-10.257832318544388,112,True,False,True,True,897.0,112,0.493074620618078,1.7919031381607056,3551
35,1,14,7943,op,-10.249372109770775,106,True,False,True,True,894.0,106,0.48321312820571644,1.5485079288482666,3657
36,11,14,3658,op,-10.247647896409035,72,True,False,True,True,895.0,72,0.4735488656416021,1.4295469522476196,3729
37,9,14,6310,op,-10.250701069831848,70,True,False,True,True,894.0,70,0.46407788832877006,1.6157417297363281,3799
38,17,14,7088,op,-10.25203050673008,86,True,False,True,True,900.0,86,0.45479633056219465,1.988775372505188,3885
39,5,14,7410,op,-10.25118924677372,93,True,False,True,True,898.0,93,0.44570040395095073,1.4409912824630737,3978
40,19,14,7208,op,-10.25754526257515,91,True,False,True,True,896.0,91,0.4367863958719317,2.0487332344055176,4069
41,6,14,6088,op,-10.238569095730782,87,True,False,True,True,887.0,87,0.42805066795449304,1.6359262466430664,4156
42,13,14,6913,op,-10.24357883632183,76,True,False,True,True,882.0,76,0.41948965459540316,1.5096054077148438,4232
43,9,14,6310,op,-10.251542329788208,81,True,False,True,True,897.0,81,0.4110998615034951,1.3399611711502075,4313
44,18,14,7963,op,-10.247790053486824,81,True,False,True,True,897.0,81,0.4028778642734252,0.9741567969322205,4394
45,5,14,7410,op,-10.251748263835907,80,True,False,True,True,900.0,80,0.39482030698795667,1.415338397026062,4474
46,6,14,6088,op,-10.241796895861626,74,True,False,True,True,899.0,74,0.38692390084819756,1.8950753211975098,4548
47,0,14,7433,op,-10.248824998736382,99,True,False,True,True,900.0,99,0.3791854228312336,1.1581518650054932,4647
48,12,14,7548,op,-10.24529355764389,75,True,False,True,True,886.0,75,0.37160171437460887,1.5147677659988403,4722
49,19,14,7208,op,-10.257832318544388,91,True,False,True,True,897.0,91,0.3641696800871167,1.2981514930725098,4813
50,19,14,7208,op,-10.25869482755661,94,True,False,True,True,900.0,94,0.35688628648537435,1.5279686450958252,4907
51,16,14,7433,op,-10.251762315630913,105,True,False,True,True,893.0,105,0.34974856075566685,0.9289157390594482,5012
52,12,14,7548,op,-10.242801412940025,96,True,False,True,True,877.0,96,0.3427535895405535,1.3070039749145508,5108
53,8,14,6928,op,-10.239361941814423,91,True,False,True,True,900.0,91,0.33589851774974244,0.9178136587142944,5199
54,7,14,7588,op,-10.252459526062012,83,True,False,True,True,898.0,83,0.3291805473947476,1.2199937105178833,5282
55,9,14,6310,op,-10.249859601259232,86,True,False,True,True,891.0,86,0.32259693644685267,1.0771880149841309,5368
56,12,14,7548,op,-10.230066537857056,92,True,False,True,True,831.0,92,0.3161449977179156,0.9185210466384888,5460
57,11,14,3658,op,-10.246541231870651,78,True,False,True,True,891.0,78,0.3098220977635573,0.7114540338516235,5538
58,16,14,7433,op,-10.253735542297363,95,True,False,True,True,900.0,95,0.30362565580828615,1.3395359516143799,5633
59,12,14,7548,op,-10.248338639736176,72,True,False,True,True,897.0,72,0.2975531426921204,0.6744894981384277,5705
60,8,14,6928,op,-10.239361703395844,83,True,False,True,True,900.0,83,0.291602079838278,0.9788243174552917,5788
61,19,14,7208,op,-10.256395697593689,104,True,False,True,True,892.0,104,0.2857700382415124,0.6454741358757019,5892
62,13,14,6913,op,-10.247997507452965,86,True,False,True,True,898.0,86,0.2800546374766822,0.7173510789871216,5978
63,5,14,7410,op,-10.245594412088394,97,True,False,True,True,878.0,97,0.27445354472714856,1.979445457458496,6075
