episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-11.205332671913007,115,True,False,False,True,895.0,115,0.995,,115
1,0,14,7433,op,-11.207966987167795,116,True,False,False,True,891.0,116,0.990025,0.0005385144613683224,231
2,0,14,7433,op,8.538752839900553,120,True,True,False,False,892.0,120,0.985074875,0.2123190462589264,351
3,0,14,7433,op,-11.202773462732633,113,True,False,False,True,884.0,113,0.9801495006250001,0.4532008469104767,464
4,0,14,7433,op,-11.209882478788495,117,True,False,False,True,900.0,117,0.9752487531218751,0.5710129141807556,581
5,0,14,7433,op,-11.202828754422566,113,True,False,False,True,893.0,113,0.9703725093562657,0.3848807215690613,694
6,0,14,7433,op,-11.186134440886478,103,True,False,False,True,885.0,103,0.9655206468094844,0.6707642078399658,797
7,0,14,7433,op,-11.19088561690102,106,True,False,False,True,896.0,106,0.960693043575437,0.9401265382766724,903
8,0,14,7433,op,8.560124859213829,120,True,True,False,False,823.0,120,0.9558895783575597,2.604132652282715,1023
9,0,14,7433,op,8.581606798805296,120,True,True,False,False,751.0,120,0.9511101304657719,1.6020325422286987,1143
10,0,14,7433,op,-11.201438560398916,112,True,False,False,True,896.0,112,0.946354579813443,0.6408869028091431,1255
11,0,14,7433,op,-11.189301894046366,105,True,False,False,True,895.0,105,0.9416228069143757,1.5780688524246216,1360
12,0,14,7433,op,-11.212524639939268,119,True,False,False,True,877.0,119,0.9369146928798039,1.39542555809021,1479
13,0,14,7433,op,-11.211584626262386,119,True,False,False,True,878.0,119,0.9322301194154049,1.9426213502883911,1598
14,0,14,7433,op,-11.207441694227358,116,True,False,False,True,894.0,116,0.9275689688183278,2.160949230194092,1714
15,0,14,7433,op,-11.210056196960311,118,True,False,False,True,884.0,118,0.9229311239742362,1.7563351392745972,1832
16,0,14,7433,op,-11.196466208311419,109,True,False,False,True,897.0,109,0.918316468354365,2.62634539604187,1941
17,0,14,7433,op,8.568169764243066,120,True,True,False,False,797.0,120,0.9137248860125932,3.667574167251587,2061
18,0,14,7433,op,8.54784871917218,120,True,True,False,False,862.0,120,0.9091562615825302,2.076042652130127,2181
19,0,14,7433,op,8.55874203145504,120,True,True,False,False,828.0,120,0.9046104802746175,1.820886254310608,2301
20,0,14,7433,op,8.565626244060695,120,True,True,False,False,807.0,120,0.9000874278732445,3.073647975921631,2421
21,0,14,7433,op,-11.199329539947211,111,True,False,False,True,882.0,111,0.8955869907338783,1.6331956386566162,2532
22,0,14,7433,op,-11.199467775225639,111,True,False,False,True,900.0,111,0.8911090557802088,1.8257839679718018,2643
23,0,14,7433,op,8.552715171128511,120,True,True,False,False,846.0,120,0.8866535105013078,1.1602399349212646,2763
24,0,14,7433,op,-11.199882481060921,111,True,False,False,True,900.0,111,0.8822202429488013,1.6090188026428223,2874
25,0,14,7433,op,-11.209771896339953,117,True,False,False,True,896.0,117,0.8778091417340573,1.855586290359497,2991
26,0,14,7433,op,-11.207607575816413,116,True,False,False,True,893.0,116,0.8734200960253871,1.1441045999526978,3107
27,0,14,7433,op,-11.183160520282884,101,True,False,False,True,898.0,101,0.8690529955452602,1.2666007280349731,3208
28,0,14,7433,op,-11.18121738328288,100,True,False,False,True,893.0,100,0.8647077305675338,2.096092700958252,3308
29,0,14,7433,op,-11.192911697489519,107,True,False,False,True,889.0,107,0.8603841919146962,1.5378048419952393,3415
30,0,14,7433,op,8.54713056050241,120,True,True,False,False,865.0,120,0.8560822709551227,1.2622077465057373,3535
31,0,14,7433,op,8.556779383681715,120,True,True,False,False,835.0,120,0.851801859600347,1.0758349895477295,3655
32,0,14,7433,op,8.567312609404325,120,True,True,False,False,798.0,120,0.8475428503023453,1.1621737480163574,3775
33,0,14,7433,op,-11.198188167375823,110,True,False,False,True,899.0,110,0.8433051360508336,1.0032856464385986,3885
34,0,14,7433,op,-11.17116208827744,94,True,False,False,True,895.0,94,0.8390886103705794,1.1859984397888184,3979
35,0,14,7433,op,8.548761351965368,120,True,True,False,False,859.0,120,0.8348931673187264,1.2647638320922852,4099
36,0,14,7433,op,-11.197939345923563,110,True,False,False,True,893.0,110,0.8307187014821328,0.734416127204895,4209
37,0,14,7433,op,8.558271844871342,120,True,True,False,False,830.0,120,0.8265651079747222,1.1413655281066895,4329
38,0,14,7433,op,-11.191521500671904,106,True,False,False,True,899.0,106,0.8224322824348486,1.1241481304168701,4435
39,0,14,7433,op,-11.207496984985967,116,True,False,False,True,879.0,116,0.8183201210226743,1.001246452331543,4551
40,0,14,7433,op,-11.192939347525437,107,True,False,False,True,897.0,107,0.8142285204175609,0.919033408164978,4658
41,0,14,7433,op,-11.211556981814404,119,True,False,False,True,866.0,119,0.810157377815473,1.0243072509765625,4777
42,0,14,7433,op,-11.199578364193439,111,True,False,False,True,896.0,111,0.8061065909263957,0.8616342544555664,4888
43,0,14,7433,op,-11.20774581109484,116,True,False,False,True,889.0,116,0.8020760579717637,0.6553570628166199,5004
44,0,14,7433,op,-11.199412480741739,111,True,False,False,True,883.0,111,0.798065677681905,1.3856191635131836,5115
45,0,14,7433,op,-11.176493854510287,97,True,False,False,True,898.0,97,0.7940753492934954,0.9766520261764526,5212
46,0,14,7433,op,-11.19782875602444,110,True,False,False,True,893.0,110,0.7901049725470279,1.3025221824645996,5322
47,0,14,7433,op,-11.202939344321688,113,True,False,False,True,900.0,113,0.7861544476842928,1.5902289152145386,5435
48,0,14,7433,op,-11.184744246862829,102,True,False,False,True,895.0,102,0.7822236754458713,0.5386370420455933,5537
49,0,14,7433,op,-11.191134440215926,106,True,False,False,True,885.0,106,0.778312557068642,0.45657116174697876,5643
50,0,14,7433,op,-11.197718164262673,110,True,False,False,True,899.0,110,0.7744209942832988,0.7294721603393555,5753
51,0,14,7433,op,-11.196245031307141,109,True,False,False,True,889.0,109,0.7705488893118823,0.3391220271587372,5862
52,0,14,7433,op,-11.211189732017617,118,True,False,False,True,887.0,118,0.7666961448653229,0.6978897452354431,5980
53,0,14,7433,op,8.568833676166832,120,True,True,False,False,793.0,120,0.7628626641409962,0.7625695466995239,6100
54,0,14,7433,op,-11.194827185384929,108,True,False,False,True,898.0,108,0.7590483508202912,1.0245059728622437,6208
55,0,14,7433,op,-11.191106790180008,106,True,False,False,True,900.0,106,0.7552531090661897,0.4514535963535309,6314
56,0,14,7433,op,-11.201493853951494,112,True,False,False,True,898.0,112,0.7514768435208588,0.34322142601013184,6426
57,0,14,7433,op,-11.20296698876967,113,True,False,False,True,891.0,113,0.7477194593032545,0.8729304075241089,6539
58,0,14,7433,op,8.55545203294605,120,True,True,False,False,838.0,120,0.7439808620067382,0.5215210914611816,6659
59,0,14,7433,op,-11.204744243249298,114,True,False,False,True,895.0,114,0.7402609576967045,0.4604392647743225,6773
60,0,14,7433,op,-11.207773456474145,116,True,False,False,True,884.0,116,0.736559652908221,0.1514430046081543,6889
61,0,14,7433,op,-11.204440123587847,114,True,False,False,True,892.0,114,0.7328768546436799,0.1316511034965515,7003
62,0,14,7433,op,-11.202248158616325,113,True,False,False,True,897.0,113,0.7292124703704616,0.08928152173757553,7116
63,0,14,7433,op,-11.20105149714897,112,True,False,False,True,899.0,112,0.7255664080186093,0.14661070704460144,7228
64,0,14,7433,op,-11.209495418332518,117,True,False,False,True,886.0,117,0.7219385759785162,0.4978703260421753,7345
65,0,14,7433,op,-11.194495419412851,108,True,False,False,True,900.0,108,0.7183288830986236,0.11179099977016449,7453
66,0,14,7433,op,-11.1880499334385,104,True,False,False,True,894.0,104,0.7147372386831305,0.3611565828323364,7557
67,0,14,7433,op,-11.191327973703544,106,True,False,False,True,892.0,106,0.7111635524897149,0.3759910464286804,7663
68,0,14,7433,op,-11.212275807311137,119,True,False,False,True,898.0,119,0.7076077347272662,0.37964242696762085,7782
69,0,14,7433,op,-11.206549147764841,115,True,False,False,True,900.0,115,0.7040696960536299,0.045869193971157074,7897
70,0,14,7433,op,-11.20282875628521,113,True,False,False,True,886.0,113,0.7005493475733617,0.09227706491947174,8010
71,0,14,7433,op,-11.212192867447932,119,True,False,False,True,889.0,119,0.697046600835495,0.09483377635478973,8129
72,0,14,7433,op,-11.211438559989135,118,True,False,False,True,896.0,118,0.6935613678313175,0.07075338065624237,8247
73,0,14,7433,op,-11.176300326610605,97,True,False,False,True,896.0,97,0.6900935609921609,0.08707039058208466,8344
74,0,14,7433,op,-11.20802228351434,116,True,False,False,True,893.0,116,0.6866430931872001,0.33068475127220154,8460
75,0,14,7433,op,-11.157745815937718,86,True,False,False,True,895.0,86,0.6832098777212641,0.14994573593139648,8546
76,0,14,7433,op,-11.192801106659074,107,True,False,False,True,885.0,107,0.6797938283326578,0.2326057255268097,8653
77,0,14,7433,op,-11.207386398812135,116,True,False,False,True,890.0,116,0.6763948591909945,0.18934974074363708,8769
78,0,14,7433,op,-11.191051502215366,106,True,False,False,True,898.0,106,0.6730128848950395,0.28216034173965454,8875
79,0,14,7433,op,-11.184495422616601,102,True,False,False,True,891.0,102,0.6696478204705644,0.03850288689136505,8977
80,0,14,7433,op,-11.189384832978249,105,True,False,False,True,882.0,105,0.6662995813682115,0.20758968591690063,9082
81,0,14,7433,op,-11.199550713226198,111,True,False,False,True,900.0,111,0.6629680834613705,0.2701359689235687,9193
82,0,14,7433,op,-11.212441690762837,119,True,False,False,True,900.0,119,0.6596532430440636,0.030781500041484833,9312
83,0,14,7433,op,-11.204744246974588,114,True,False,False,True,895.0,114,0.6563549768288433,0.4139852225780487,9426
84,0,14,7433,op,-11.20727580798169,116,True,False,False,True,891.0,116,0.653073201944699,0.04130411893129349,9542
85,0,14,7433,op,-11.186162089991074,103,True,False,False,True,899.0,103,0.6498078359349755,0.022990986704826355,9645
86,0,14,7433,op,-11.20263522186627,113,True,False,False,True,889.0,113,0.6465587967553006,0.09608622640371323,9758
87,0,14,7433,op,-11.20457836072892,114,True,False,False,True,889.0,114,0.6433260027715241,0.01667186990380287,9872
88,0,14,7433,op,-11.17313287438204,95,True,False,False,True,897.0,95,0.6401093727576664,0.03460901975631714,9967
89,0,14,7433,op,8.567478402517736,120,True,True,False,False,799.0,120,0.6369088258938781,0.05271477997303009,10000
90,0,14,7433,op,-11.199025418423115,111,True,False,False,True,889.0,111,0.6337242817644086,0.5861649513244629,10000
91,0,14,7433,op,-11.204688950628043,114,True,False,False,True,893.0,114,0.6305556603555866,0.08331277966499329,10000
92,0,14,7433,op,-11.204495421797038,114,True,False,False,True,899.0,114,0.6274028820538087,0.5879534482955933,10000
93,0,14,7433,op,-11.184854834899307,102,True,False,False,True,899.0,102,0.6242658676435396,0.04283175989985466,10000
94,0,14,7433,op,-11.208215813276668,116,True,False,False,True,900.0,116,0.6211445383053219,0.04517225921154022,10000
95,0,14,7433,op,-11.194578360207379,108,True,False,False,True,889.0,108,0.6180388156137953,0.29652851819992065,10000
96,0,14,7433,op,-11.191189734699826,106,True,False,False,True,894.0,106,0.6149486215357263,0.3913174867630005,10000
97,0,14,7433,op,-11.181327973182002,100,True,False,False,True,892.0,100,0.6118738784280476,0.03200242668390274,10000
98,0,14,7433,op,-11.194301887787878,108,True,False,False,True,900.0,108,0.6088145090359074,0.28358882665634155,10000
99,0,14,7433,op,-11.191549149776499,106,True,False,False,True,900.0,106,0.6057704364907278,0.033660147339105606,10000
100,0,14,7433,op,-11.211944042270382,119,True,False,False,True,880.0,119,0.6027415843082742,0.03797845542430878,10000
101,0,14,7433,op,-11.189550720155239,105,True,False,False,True,888.0,105,0.5997278763867329,0.014876453205943108,10000
102,0,14,7433,op,-11.211355617331963,118,True,False,False,True,893.0,118,0.5967292370047992,0.3333420157432556,10000
103,0,14,7433,op,-11.18296699517717,101,True,False,False,True,891.0,101,0.5937455908197752,0.06691920757293701,10000
104,0,14,7433,op,-11.196355619343619,109,True,False,False,True,893.0,109,0.5907768628656763,0.26288697123527527,10000
105,0,14,7433,op,-11.179550717771054,99,True,False,False,True,899.0,99,0.5878229785513479,0.10352621227502823,10000
106,0,14,7433,op,-11.19985483661294,111,True,False,False,True,899.0,111,0.5848838636585911,0.25402072072029114,10000
107,0,14,7433,op,-11.182939347003897,101,True,False,False,True,890.0,101,0.5819594443402982,0.1708555370569229,10000
108,0,14,7433,op,-11.201327971431116,112,True,False,False,True,892.0,112,0.5790496471185967,0.10082393139600754,10000
109,0,14,7433,op,-11.192994638284047,107,True,False,False,True,892.0,107,0.5761543988830038,0.025056608021259308,10000
110,0,14,7433,op,-11.189688952639699,105,True,False,False,True,900.0,105,0.5732736268885887,0.04356548190116882,10000
111,0,14,7433,op,-11.19985483661294,111,True,False,False,True,899.0,111,0.5704072587541458,0.029085781425237656,10000
112,0,14,7433,op,-11.174882485345005,96,True,False,False,True,900.0,96,0.567555222460375,0.03524349257349968,10000
113,0,14,7433,op,-11.189412480220199,105,True,False,False,True,885.0,105,0.5647174463480732,0.2061641961336136,10000
114,0,14,7433,op,-11.196438561069469,109,True,False,False,True,896.0,109,0.5618938591163328,0.022647306323051453,10000
115,0,14,7433,op,-11.204246596619488,114,True,False,False,True,885.0,114,0.5590843898207511,0.39935314655303955,10000
116,0,14,7433,op,-11.17613444129626,97,True,False,False,True,894.0,97,0.5562889678716474,0.035042647272348404,10000
117,0,14,7433,op,-11.171438563490907,94,True,False,False,True,896.0,94,0.5535075230322891,0.15494950115680695,10000
118,0,14,7433,op,-11.199606009572744,111,True,False,False,True,899.0,111,0.5507399854171277,0.19180437922477722,10000
119,0,14,7433,op,-11.196272677617769,109,True,False,False,True,890.0,109,0.547986285490042,0.17261433601379395,10000
120,0,14,7433,op,-11.194633653759956,108,True,False,False,True,900.0,108,0.5452463540625918,0.04434145614504814,10000
121,0,14,7433,op,-11.209136002324522,117,True,False,False,True,879.0,117,0.5425201222922789,0.11320093274116516,10000
122,0,14,7433,op,-11.189357187598944,105,True,False,False,True,891.0,105,0.5398075216808175,0.02600451186299324,10000
123,0,14,7433,op,-11.194246596097946,108,True,False,False,True,900.0,108,0.5371084840724134,0.02992151491343975,10000
124,0,14,7433,op,-11.199854831956326,111,True,False,False,True,899.0,111,0.5344229416520513,0.023175887763500214,10000
125,0,14,7433,op,8.540301460772753,120,True,True,False,False,888.0,120,0.531750826943791,0.33736151456832886,10000
126,0,14,7433,op,-11.189440123736858,105,True,False,False,True,884.0,105,0.5290920728090721,0.28365322947502136,10000
127,0,14,7433,op,-11.182718169068297,101,True,False,False,True,890.0,101,0.5264466124450268,0.24938352406024933,10000
128,0,14,7433,op,-11.178049935710927,98,True,False,False,True,898.0,98,0.5238143793828016,0.3377392292022705,10000
129,0,14,7433,op,-11.1776905224969,98,True,False,False,True,899.0,98,0.5211953074858876,0.16635914146900177,10000
130,0,14,7433,op,-11.179799542017282,99,True,False,False,True,897.0,99,0.5185893309484582,0.17643022537231445,10000
131,0,14,7433,op,-11.179744245670737,99,True,False,False,True,895.0,99,0.5159963842937159,0.2783952057361603,10000
132,0,14,7433,op,-11.182856403415402,101,True,False,False,True,892.0,101,0.5134164023722473,0.042320311069488525,10000
133,0,14,7433,op,-11.181466207529107,100,True,False,False,True,897.0,100,0.510849320360386,0.2100553810596466,10000
