episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-11.205332671913007,115,True,False,False,True,895.0,115,0.999,,115
1,0,14,7433,op,-11.20944012477994,117,True,False,False,True,896.0,117,0.998001,,232
2,0,14,7433,op,-11.211667566125591,119,True,False,False,True,873.0,119,0.997002999,,351
3,0,14,7433,op,8.547683414071798,120,True,True,False,False,866.0,120,0.996005996001,,471
4,0,14,7433,op,8.543453129939735,120,True,True,False,False,879.0,120,0.995009990004999,,591
5,0,14,7433,op,-11.19788404678305,110,True,False,False,True,892.0,110,0.994014980014994,,701
6,0,14,7433,op,8.542568231001496,120,True,True,False,False,881.0,120,0.993020965034979,,821
7,0,14,7433,op,-11.201079149047533,112,True,False,False,True,893.0,112,0.9920279440699441,,933
8,0,14,7433,op,8.543785176239908,120,True,True,False,False,876.0,120,0.9910359161258742,0.07295447587966919,1053
9,0,14,7433,op,-11.191383268187444,106,True,False,False,True,894.0,106,0.9900448802097482,0.07464834302663803,1159
10,0,14,7433,op,-11.189688948914409,105,True,False,False,True,893.0,105,0.9890548353295385,0.07337425649166107,1264
11,0,14,7433,op,-11.191493856223921,106,True,False,False,True,898.0,106,0.988065780494209,0.22330428659915924,1370
12,0,14,7433,op,-11.209301890432835,117,True,False,False,True,900.0,117,0.9870777147137147,0.00474096555262804,1487
13,0,14,7433,op,8.567754779942334,120,True,True,False,False,800.0,120,0.986090636999001,0.2853507101535797,1607
14,0,14,7433,op,-11.21241404445221,119,True,False,False,True,897.0,119,0.9851045463620021,0.011938100680708885,1726
15,0,14,7433,op,-11.201383262189726,112,True,False,False,True,894.0,112,0.98411944181564,0.16028539836406708,1838
16,0,14,7433,op,-11.202939344321688,113,True,False,False,True,890.0,113,0.9831353223738244,0.1359725296497345,1951
17,0,14,7433,op,-11.202607581143578,113,True,False,False,True,887.0,113,0.9821521870514506,0.1381550133228302,2064
18,0,14,7433,op,8.549978115595877,120,True,True,False,False,856.0,120,0.9811700348643991,0.06792139261960983,2184
19,0,14,7433,op,8.537121861241758,120,True,True,False,False,900.0,120,0.9801888648295347,0.025589443743228912,2304
20,0,14,7433,op,-11.204606012627483,114,True,False,False,True,890.0,114,0.9792086759647052,0.12896767258644104,2418
21,0,14,7433,op,-11.186272678027551,103,True,False,False,True,900.0,103,0.9782294672887405,0.08539112657308578,2521
22,0,14,7433,op,-11.204301890172065,114,True,False,False,True,887.0,114,0.9772512378214517,0.12720492482185364,2635
23,0,14,7433,op,8.536900871433318,120,True,True,False,False,898.0,120,0.9762739865836303,0.1488378494977951,2755
24,0,14,7433,op,-11.19985483661294,111,True,False,False,True,899.0,111,0.9752977125970467,0.03448481112718582,2866
25,0,14,7433,op,-11.190885617832343,106,True,False,False,True,876.0,106,0.9743224148844496,0.14287331700325012,2972
26,0,14,7433,op,-11.173215815176567,95,True,False,False,True,900.0,95,0.9733480924695651,0.16130733489990234,3067
27,0,14,7433,op,8.557774867862463,120,True,True,False,False,833.0,120,0.9723747443770956,0.040314216166734695,3187
28,0,14,7433,op,-11.204384828172625,114,True,False,False,True,891.0,114,0.9714023696327185,0.06017602980136871,3301
29,0,14,7433,op,-11.205609142469863,115,True,False,False,True,879.0,115,0.9704309672630859,0.085691437125206,3416
30,0,14,7433,op,-11.199827184714376,111,True,False,False,True,898.0,111,0.9694605362958227,0.057905375957489014,3527
31,0,14,7433,op,-11.206189734550813,115,True,False,False,True,887.0,115,0.9684910757595269,0.09528695046901703,3642
32,0,14,7433,op,-11.19599620612959,109,True,False,False,True,892.0,109,0.9675225846837673,0.14144223928451538,3751
33,0,14,7433,op,-11.202690521938106,113,True,False,False,True,881.0,113,0.9665550620990835,0.14867648482322693,3864
34,0,14,7433,op,-11.181355618561307,100,True,False,False,True,894.0,100,0.9655885070369844,0.1560414731502533,3964
35,0,14,7433,op,8.543453127145767,120,True,True,False,False,879.0,120,0.9646229185299474,0.15217289328575134,4084
36,0,14,7433,op,-11.213022284706433,119,True,False,False,True,893.0,119,0.9636582956114175,0.09852373600006104,4203
37,0,14,7433,op,-11.212579926972587,119,True,False,False,True,891.0,119,0.9626946373158061,0.19475150108337402,4322
38,0,14,7433,op,-11.211639921677609,119,True,False,False,True,883.0,119,0.9617319426784903,0.15537860989570618,4441
39,0,14,7433,op,8.557967634871602,120,True,True,False,False,831.0,120,0.9607702107358118,0.17418824136257172,4561
40,0,14,7433,op,-11.205913260268668,115,True,False,False,True,885.0,115,0.959809440525076,0.12422052770853043,4676
41,0,14,7433,op,-11.20755228040119,116,True,False,False,True,898.0,116,0.9588496310845509,0.29421600699424744,4792
42,0,14,7433,op,-11.194827185384929,108,True,False,False,True,898.0,108,0.9578907814534664,0.15426917374134064,4900
43,0,14,7433,op,8.549978021532297,120,True,True,False,False,857.0,120,0.9569328906720129,0.01412929780781269,5020
44,0,14,7433,op,-11.196106794166068,109,True,False,False,True,900.0,109,0.9559759577813409,0.019072985276579857,5129
45,0,14,7433,op,-11.182828754310806,101,True,False,False,True,887.0,101,0.9550199818235596,0.016783956438302994,5230
46,0,14,7433,op,-11.211438556263845,118,True,False,False,True,896.0,118,0.9540649618417361,0.014779744669795036,5348
47,0,14,7433,op,8.537813510745764,120,True,True,False,False,895.0,120,0.9531108968798944,0.15307362377643585,5468
48,0,14,7433,op,-11.197856406060358,110,True,False,False,True,888.0,110,0.9521577859830145,0.03445231169462204,5578
49,0,14,7433,op,-11.204357185587288,114,True,False,False,True,894.0,114,0.9512056281970315,0.01100274920463562,5692
50,0,14,7433,op,-11.196438558275501,109,True,False,False,True,896.0,109,0.9502544225688344,0.3390619456768036,5801
51,0,14,7433,op,-11.201217381531993,112,True,False,False,True,888.0,112,0.9493041681462656,0.3189343810081482,5913
52,0,14,7433,op,8.550503411330283,120,True,True,False,False,856.0,120,0.9483548639781193,0.18375584483146667,6033
53,0,14,7433,op,8.561423795297742,120,True,True,False,False,818.0,120,0.9474065091141411,0.11941005289554596,6153
54,0,14,7433,op,-11.200775026592115,112,True,False,False,True,892.0,112,0.946459102605027,0.19499093294143677,6265
55,0,14,7433,op,-11.202911693354448,113,True,False,False,True,891.0,113,0.9455126435024219,0.13725391030311584,6378
56,0,14,7433,op,-11.209716596268118,117,True,False,False,True,894.0,117,0.9445671308589195,0.17143754661083221,6495
57,0,14,7433,op,-11.190940910453598,106,True,False,False,True,889.0,106,0.9436225637280606,0.03316003084182739,6601
58,0,14,7433,op,-11.207635221195718,116,True,False,False,True,879.0,116,0.9426789411643326,0.0238273236900568,6717
59,0,14,7433,op,-11.210940910565357,118,True,False,False,True,890.0,118,0.9417362622231683,0.014191919937729836,6835
60,0,14,7433,op,-11.194854835420847,108,True,False,False,True,899.0,108,0.9407945259609451,0.1655435562133789,6943
61,0,14,7433,op,-11.211778157887359,119,True,False,False,True,886.0,119,0.9398537314349842,0.027288183569908142,7062
62,0,14,7433,op,-11.199467773362993,111,True,False,False,True,899.0,111,0.9389138777035492,0.022280097007751465,7173
63,0,14,7433,op,-11.194412476755678,108,True,False,False,True,900.0,108,0.9379749638258457,0.1847541630268097,7281
64,0,14,7433,op,-11.199329537153243,111,True,False,False,True,900.0,111,0.9370369888620198,0.04067828506231308,7392
65,0,14,7433,op,-11.210609143661957,118,True,False,False,True,868.0,118,0.9360999518731578,0.19915525615215302,7510
66,0,14,7433,op,-11.21110679122309,118,True,False,False,True,899.0,118,0.9351638519212846,0.1473592072725296,7628
67,0,14,7433,op,-11.206134440998236,115,True,False,False,True,885.0,115,0.9342286880693633,0.02435111813247204,7743
68,0,14,7433,op,-11.20763522212704,116,True,False,False,True,880.0,116,0.933294459381294,0.018458392471075058,7859
69,0,14,7433,op,8.575883002951741,120,True,True,False,False,770.0,120,0.9323611649219127,0.16953043639659882,7979
70,0,14,7433,op,-11.208527770452202,117,True,False,False,True,877.0,117,0.9314288037569908,0.34159159660339355,8096
71,0,14,7433,op,8.545692253857851,120,True,True,False,False,872.0,120,0.9304973749532338,0.030079610645771027,8216
72,0,14,7433,op,-11.211217384847503,118,True,False,False,True,895.0,118,0.9295668775782806,0.17175285518169403,8334
73,0,14,7433,op,-11.211245030226808,118,True,False,False,True,891.0,118,0.9286373107007023,0.0178762786090374,8452
74,0,14,7433,op,-11.209716595336795,117,True,False,False,True,894.0,117,0.9277086733900016,0.16570572555065155,8569
75,0,14,7433,op,-11.196051497819523,109,True,False,False,True,894.0,109,0.9267809647166116,0.3007577359676361,8678
76,0,14,7433,op,-11.206079149308303,115,True,False,False,True,895.0,115,0.925854183751895,0.17157554626464844,8793
