episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,895.0,115,0.999,,115
1,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,896.0,117,0.998001,,232
2,0,14,7433,op,-0.12633333333333344,119,True,False,False,True,873.0,119,0.997002999,,351
3,0,14,7433,op,0.6415750560760497,120,True,True,False,False,866.0,120,0.996005996001,,471
4,0,14,7433,op,0.6365985450744628,120,True,True,False,False,884.0,120,0.995009990004999,0.0011108595645055175,591
5,0,14,7433,op,-0.19966666666666674,109,True,False,False,True,895.0,109,0.994014980014994,0.00266888621263206,700
6,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,890.0,118,0.993020965034979,0.0006438519340008497,818
7,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,896.0,113,0.9920279440699441,0.00035822283825837076,931
8,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,900.0,116,0.9910359161258742,0.00044764604535885155,1047
9,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,893.0,117,0.9900448802097482,0.0006464504403993487,1164
10,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,892.0,113,0.9890548353295385,0.00021269267017487437,1277
11,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,895.0,114,0.988065780494209,0.0009476200793869793,1391
12,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,894.0,113,0.9870777147137147,0.00034835655242204666,1504
13,0,14,7433,op,-0.24366666666666675,103,True,False,False,True,897.0,103,0.986090636999001,0.0003694983315654099,1607
14,0,14,7433,op,-0.21433333333333343,107,True,False,False,True,897.0,107,0.9851045463620021,0.0009388031903654337,1714
15,0,14,7433,op,0.6636928496360778,120,True,True,False,False,786.0,120,0.98411944181564,0.0005272207781672478,1834
16,0,14,7433,op,-0.21433333333333343,107,True,False,False,True,899.0,107,0.9831353223738244,0.0003467234200797975,1941
17,0,14,7433,op,-0.2583333333333334,101,True,False,False,True,896.0,101,0.9821521870514506,0.00048107290058396757,2042
18,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,888.0,114,0.9811700348643991,0.0007281599682755768,2156
19,0,14,7433,op,-0.18500000000000008,111,True,False,False,True,900.0,111,0.9801888648295347,0.00045092543587088585,2267
20,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,895.0,116,0.9792086759647052,0.0005836240598000586,2383
21,0,14,7433,op,-0.28766666666666674,97,True,False,False,True,900.0,97,0.9782294672887405,0.0005703156348317862,2480
22,0,14,7433,op,-0.22166666666666673,106,True,False,False,True,892.0,106,0.9772512378214517,0.0006545798969455063,2586
