episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,4,14,7438,op,-11.180083594471217,99,True,False,False,True,900.0,99,0.98,,99
1,0,14,7433,op,-11.201217382463316,112,True,False,False,True,896.0,112,0.9603999999999999,0.1478947401046753,211
2,2,14,7100,op,-11.203997809626163,114,True,False,False,True,900.0,114,0.9411919999999999,0.03028826229274273,325
3,14,14,6843,op,-11.179443161624173,100,True,False,False,True,799.0,100,0.9223681599999999,0.1901399791240692,425
4,8,14,6928,op,-11.195336860480408,109,True,False,False,True,890.0,109,0.9039207967999998,0.1488725244998932,534
5,17,14,7088,op,-11.185161463047068,103,True,False,False,True,879.0,103,0.8858423808639998,0.5887267589569092,637
6,2,14,7100,op,-11.20426866337657,114,True,False,False,True,900.0,114,0.8681255332467198,0.42141222953796387,751
7,1,14,7943,op,-11.209351447969675,117,True,False,False,True,889.0,117,0.8507630225817854,0.6147069334983826,868
8,19,14,7208,op,-11.192248704346518,106,True,False,False,True,890.0,106,0.8337477621301497,1.4299540519714355,974
9,0,14,7433,op,-11.197939343129596,110,True,False,False,True,900.0,110,0.8170728068875467,0.9208173155784607,1084
10,4,14,7438,op,-11.176527295509974,97,True,False,False,True,898.0,97,0.8007313507497957,1.5110405683517456,1181
11,11,14,3658,op,-11.17487546224147,96,True,False,False,True,899.0,96,0.7847167237347998,1.4525023698806763,1277
12,4,14,7438,op,-11.183054609348376,101,True,False,False,True,887.0,101,0.7690223892601038,1.806549072265625,1378
13,11,14,3658,op,-11.166514463226001,91,True,False,False,True,898.0,91,0.7536419414749017,4.835483551025391,1469
14,18,14,7963,op,-11.16083792137603,88,True,False,False,True,898.0,88,0.7385691026454037,1.6697556972503662,1557
15,2,14,7100,op,8.595130426809192,120,True,True,False,False,724.0,120,0.7237977205924956,3.5960962772369385,1677
16,13,14,6913,op,-11.163777945563197,90,True,False,False,True,900.0,90,0.7093217661806457,2.894528388977051,1767
17,10,14,7133,op,-11.202651677404841,113,True,False,False,True,900.0,113,0.6951353308570327,9.971261978149414,1880
18,0,14,7433,op,-11.212414045383532,119,True,False,False,True,875.0,119,0.6812326242398921,2.7768125534057617,1999
19,10,14,7133,op,-11.182954630938669,101,True,False,False,True,897.0,101,0.6676079717550942,5.744167327880859,2100
20,5,14,7410,op,-11.200034943222999,111,True,False,False,True,895.0,111,0.6542558123199923,3.601147413253784,2211
21,16,14,7433,op,-11.185204369574786,102,True,False,False,True,894.0,102,0.6411706960735924,4.170596122741699,2313
22,5,14,7410,op,-11.193144499262173,107,True,False,False,True,893.0,107,0.6283472821521205,6.355051517486572,2420
23,8,14,6928,op,-11.208164871297777,117,True,False,False,True,887.0,117,0.6157803365090782,8.2698392868042,2537
24,18,14,7963,op,-11.16808469959845,92,True,False,False,True,896.0,92,0.6034647297788965,5.47177267074585,2629
25,6,14,6088,op,-11.155577357547978,85,True,False,False,True,899.0,85,0.5913954351833186,5.494327545166016,2714
26,0,14,7433,op,-11.197801106919846,110,True,False,False,True,898.0,110,0.5795675264796523,6.58637809753418,2824
27,4,14,7438,op,-11.16324970362087,89,True,False,False,True,894.0,89,0.5679761759500592,5.669682502746582,2913
28,13,14,6913,op,-11.168860792554915,93,True,False,False,True,894.0,93,0.5566166524310581,5.1988677978515625,3006
29,4,14,7438,op,-11.160055726394058,87,True,False,False,True,899.0,87,0.5454843193824369,6.205997467041016,3093
30,3,14,6348,op,-11.149307425878941,81,True,False,False,True,895.0,81,0.5345746329947881,4.523136615753174,3174
31,2,14,7100,op,-11.179349922761322,99,True,False,False,True,899.0,99,0.5238831403348924,5.12245512008667,3273
32,13,14,6913,op,-11.162387440477808,89,True,False,False,True,891.0,89,0.5134054775281945,5.4950432777404785,3362
33,9,14,6310,op,-11.181764797928432,100,True,False,False,True,895.0,100,0.5031373679776306,3.9565694332122803,3462
34,18,14,7963,op,-11.16769795672347,92,True,False,False,True,893.0,92,0.493074620618078,5.7206926345825195,3554
35,1,14,7943,op,-11.210543912897508,118,True,False,False,True,878.0,118,0.48321312820571644,5.031097888946533,3672
36,5,14,7410,op,-11.180118859931827,99,True,False,False,True,898.0,99,0.4735488656416021,4.821556568145752,3771
37,19,14,7208,op,-11.158972867888709,86,True,False,False,True,893.0,86,0.46407788832877006,5.172285079956055,3857
38,13,14,6913,op,-11.158695095777512,87,True,False,False,True,878.0,87,0.45479633056219465,4.606153964996338,3944
39,0,14,7433,op,-11.178188171920677,98,True,False,False,True,899.0,98,0.44570040395095073,3.990111827850342,4042
40,10,14,7133,op,-11.168064796303709,92,True,False,False,True,898.0,92,0.4367863958719317,5.741718769073486,4134
41,2,14,7100,op,-11.187710344356795,104,True,False,False,True,900.0,104,0.42805066795449304,5.280377388000488,4238
42,4,14,7438,op,-11.15141581489394,82,True,False,False,True,898.0,82,0.41948965459540316,4.839869976043701,4320
43,7,14,7588,op,-11.156406595992545,85,True,False,False,True,900.0,85,0.4110998615034951,4.802894592285156,4405
44,2,14,7100,op,-11.177629088734587,98,True,False,False,True,899.0,98,0.4028778642734252,3.862332344055176,4503
45,1,14,7943,op,-11.16990932766348,93,True,False,False,True,894.0,93,0.39482030698795667,5.150886535644531,4596
46,16,14,7433,op,-11.143396751893063,77,True,False,False,True,897.0,77,0.38692390084819756,4.099392414093018,4673
47,9,14,6310,op,-11.14023834746331,75,True,False,False,True,900.0,75,0.3791854228312336,4.035646438598633,4748
48,4,14,7438,op,-11.144832763262093,78,True,False,False,True,891.0,78,0.37160171437460887,4.0462493896484375,4826
49,16,14,7433,op,-11.132040206032494,70,True,False,False,True,900.0,70,0.3641696800871167,3.750183582305908,4896
50,14,14,6843,op,-11.131138335106273,71,True,False,False,True,800.0,71,0.35688628648537435,3.896420478820801,4967
51,8,14,6928,op,-11.16861700490117,93,True,False,False,True,888.0,93,0.34974856075566685,4.566028594970703,5060
52,2,14,7100,op,-11.17265617226561,95,True,False,False,True,900.0,95,0.3427535895405535,5.2001495361328125,5155
53,3,14,6348,op,-11.147613598344227,80,True,False,False,True,897.0,80,0.33589851774974244,3.6780319213867188,5235
54,18,14,7963,op,-11.149778986163437,81,True,False,False,True,897.0,81,0.3291805473947476,2.8833820819854736,5316
55,17,14,7088,op,-11.154026864282788,84,True,False,False,True,898.0,84,0.32259693644685267,2.1969058513641357,5400
56,15,14,5938,op,-11.138263910574217,74,True,False,False,True,898.0,74,0.3161449977179156,2.8870110511779785,5474
57,19,14,7208,op,-11.175409583188593,96,True,False,False,True,886.0,96,0.3098220977635573,2.697960376739502,5570
58,1,14,7943,op,-11.151631783011059,82,True,False,False,True,895.0,82,0.30362565580828615,2.4283804893493652,5652
59,9,14,6310,op,-11.136905014577012,73,True,False,False,True,900.0,73,0.2975531426921204,3.0466480255126953,5725
60,9,14,6310,op,-11.145182263478636,78,True,False,False,True,900.0,78,0.291602079838278,2.235577344894409,5803
61,12,14,7548,op,-11.166306736382346,91,True,False,False,True,890.0,91,0.2857700382415124,2.136775493621826,5894
62,12,14,7548,op,-11.14277960633238,77,True,False,False,True,900.0,77,0.2800546374766822,2.405822277069092,5971
63,8,14,6928,op,-11.152269487952193,83,True,False,False,True,900.0,83,0.27445354472714856,1.4849498271942139,6054
64,11,14,3658,op,-11.133236471687754,71,True,False,False,True,900.0,71,0.2689644738326056,1.1613446474075317,6125
65,16,14,7433,op,-11.166927425625424,91,True,False,False,True,896.0,91,0.26358518435595346,2.023186683654785,6216
66,12,14,7548,op,-11.154833868332208,84,True,False,False,True,897.0,84,0.25831348066883436,2.55429744720459,6300
67,13,14,6913,op,-11.15424742475152,84,True,False,False,True,898.0,84,0.2531472110554577,2.4654035568237305,6384
68,6,14,6088,op,-11.11235161361595,59,True,False,False,True,894.0,59,0.24808426683434853,2.0036160945892334,6443
69,8,14,6928,op,-11.145177291582028,79,True,False,False,True,885.0,79,0.24312258149766156,1.6781997680664062,6522
70,5,14,7410,op,-11.163032612328728,89,True,False,False,True,884.0,89,0.2382601298677083,1.5315979719161987,6611
71,17,14,7088,op,-11.135749540353816,73,True,False,False,True,887.0,73,0.23349492727035415,2.172151565551758,6684
72,9,14,6310,op,-11.148431465340158,80,True,False,False,True,900.0,80,0.22882502872494706,1.2320160865783691,6764
73,6,14,6088,op,-11.137001958241065,74,True,False,False,True,880.0,74,0.22424852815044813,1.3839670419692993,6838
74,8,14,6928,op,-11.161923742418487,89,True,False,False,True,887.0,89,0.21976355758743915,2.0777249336242676,6927
75,1,14,7943,op,-11.159518810547889,87,True,False,False,True,884.0,87,0.21536828643569036,1.9967762231826782,7014
76,4,14,7438,op,-11.148026739557585,80,True,False,False,True,896.0,80,0.21106092070697655,1.4970165491104126,7094
77,10,14,7133,op,-11.157954631497462,86,True,False,False,True,896.0,86,0.20683970229283702,0.7968349456787109,7180
78,6,14,6088,op,-11.143614831753075,78,True,False,False,True,899.0,78,0.20270290824698028,1.893273949623108,7258
79,3,14,6348,op,-11.130865461813906,70,True,False,False,True,891.0,70,0.19864885008204067,2.434434175491333,7328
