episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
0,0,14,5758,rule,-10.201122254133224,104,True,False,True,True,896.0,104,0.995,,104
1,1,14,5683,rule,-10.212164103984833,92,True,False,True,True,893.0,92,0.990025,,196
2,2,14,5808,rule,-10.176179245114326,105,True,False,True,True,747.0,105,0.985074875,,301
3,3,14,7038,rule,-10.160460218787193,100,True,False,True,True,642.0,100,0.9801495006250001,,401
4,4,14,5938,rule,-10.205855444073677,95,True,False,True,True,900.0,95,0.9752487531218751,,496
5,5,14,7000,rule,-10.186644479632378,118,True,False,True,True,777.0,118,0.9703725093562657,0.1520814299583435,614
6,6,14,5043,rule,-10.094633631408215,58,True,False,True,True,395.0,58,0.9655206468094844,0.0004997269716113806,672
7,7,14,7220,rule,-10.160192117094994,114,True,False,True,True,668.0,114,0.960693043575437,0.0023801939096301794,786
8,8,14,6708,rule,-10.219566226005554,116,True,False,True,True,900.0,116,0.9558895783575597,0.1311158686876297,902
9,9,14,4828,rule,-10.190293207764626,90,True,False,True,True,792.0,90,0.9511101304657719,0.14441588521003723,992
10,10,14,7788,rule,-10.213445335626602,77,True,False,True,True,889.0,77,0.946354579813443,0.14321373403072357,1069
11,11,14,5610,rule,-10.103674598038197,52,True,False,True,True,443.0,52,0.9416228069143757,0.015478679910302162,1121
12,12,14,5300,rule,-10.207639917731285,117,True,False,True,True,886.0,117,0.9369146928798039,0.27648699283599854,1238
13,13,14,5618,rule,-10.203580752015114,62,True,False,True,True,830.0,62,0.9322301194154049,0.13747386634349823,1300
14,14,14,6778,rule,-10.182533919811249,103,True,False,True,True,788.0,103,0.9275689688183278,0.1254688948392868,1403
15,15,14,7063,rule,-10.203389421105385,97,True,False,True,True,888.0,97,0.9229311239742362,0.15527953207492828,1500
16,16,14,7110,rule,-10.215643271803856,100,True,False,True,True,885.0,100,0.918316468354365,0.00022668493329547346,1600
17,17,14,6668,rule,-0.18741193413734436,120,True,True,False,False,798.0,120,0.9137248860125932,0.0011901863617822528,1720
18,18,14,6963,rule,-10.208760187029839,93,True,False,True,True,896.0,93,0.9091562615825302,0.2828534245491028,1813
19,19,14,5978,rule,-10.192109435796738,81,True,False,True,True,784.0,81,0.9046104802746175,0.1556607037782669,1894
20,20,14,7295,rule,-10.213712587952614,106,True,False,True,True,879.0,106,0.9000874278732445,0.0054103475995361805,2000
21,21,14,6170,rule,-10.187749236822128,102,True,False,True,True,800.0,102,0.8955869907338783,0.0019457793096080422,2102
22,22,14,6700,rule,-10.205897122621536,114,True,False,True,True,845.0,114,0.8911090557802088,0.03960360214114189,2216
23,23,14,6870,rule,-10.208284363150597,118,True,False,True,True,890.0,118,0.8866535105013078,0.03941643610596657,2334
24,24,14,6218,rule,-10.204682305455208,113,True,False,True,True,883.0,113,0.8822202429488013,0.08203168958425522,2447
25,25,14,5945,rule,-10.201895996928215,109,True,False,True,True,852.0,109,0.8778091417340573,0.053790852427482605,2556
26,26,14,7348,rule,-10.211378574371338,96,True,False,True,True,888.0,96,0.8734200960253871,0.09501771628856659,2652
27,27,14,5093,rule,-10.161708489060402,88,True,False,True,True,674.0,88,0.8690529955452602,0.30820390582084656,2740
28,28,14,7463,rule,-10.207596555352211,117,True,False,True,True,880.0,117,0.8647077305675338,0.009406260214745998,2857
29,29,14,5658,rule,-10.210157096385956,108,True,False,True,True,898.0,108,0.8603841919146962,0.04665571078658104,2965
30,30,14,6678,rule,-10.180631816387177,72,True,False,True,True,789.0,72,0.8560822709551227,0.005678258836269379,3037
31,31,14,6200,rule,-10.21068723499775,85,True,False,True,True,895.0,85,0.851801859600347,0.01378725841641426,3122
32,32,14,7530,rule,-10.210427552461624,114,True,False,True,True,900.0,114,0.8475428503023453,0.10466983914375305,3236
33,33,14,6363,rule,-10.10587153583765,57,True,False,True,True,449.0,57,0.8433051360508336,0.008180586621165276,3293
34,34,14,7608,rule,-0.1842302829027176,120,True,True,False,False,736.0,120,0.8390886103705794,0.006328738294541836,3413
35,35,14,5978,rule,-10.181343913078308,114,True,False,True,True,764.0,114,0.8348931673187264,0.21373939514160156,3527
36,36,14,7130,rule,-10.206871807575226,96,True,False,True,True,849.0,96,0.8307187014821328,0.004700508434325457,3623
37,37,14,7355,rule,-10.219083175063133,117,True,False,True,True,884.0,117,0.8265651079747222,0.04343163222074509,3740
38,38,14,7368,rule,-0.15743829309940338,120,True,True,False,False,708.0,120,0.8224322824348486,0.006836662534624338,3860
39,39,14,6168,rule,-10.210637554526329,83,True,False,True,True,895.0,83,0.8183201210226743,0.010818125680088997,3943
40,40,14,5988,rule,-10.219758242368698,109,True,False,True,True,892.0,109,0.8142285204175609,0.00723697803914547,4052
41,41,14,7183,rule,-10.217843487858772,113,True,False,True,True,879.0,113,0.810157377815473,0.035154905170202255,4165
42,42,14,5215,rule,-10.206285163760185,103,True,False,True,True,873.0,103,0.8061065909263957,0.004874636884778738,4268
43,43,14,5648,rule,-10.193448707461357,93,True,False,True,True,815.0,93,0.8020760579717637,0.010309928096830845,4361
44,44,14,7383,rule,-0.16367033123970032,120,True,True,False,False,701.0,120,0.798065677681905,0.006183953955769539,4481
45,45,14,6275,rule,-0.19843527674674988,120,True,True,False,False,837.0,120,0.7940753492934954,0.0071097384206950665,4601
46,46,14,7458,rule,-0.1912093311548233,120,True,True,False,False,770.0,120,0.7901049725470279,0.012774014845490456,4721
